doi,title,authors,published_date,volume,issue,page,article_number,citation_count,publisher,abstract,author_details,collection_timestamp,created_date,crossref_subtype,crossref_type,data_source,first_page,issn_list,journal,language,last_page,license_info,publication_year,subject_areas,updated_date
10.1038/srep00209,CUGBP1 and MBNL1 preferentially bind to 3′ UTRs and facilitate mRNA decay,Akio Masuda; Henriette Skovgaard Andersen; Thomas Koed Doktor; Takaaki Okamoto; Mikako Ito; Brage Storstein Andresen; Kinji Ohno,2012-01-04,2,1,,209,156,Springer Science and Business Media LLC,,"{'given': 'Akio', 'family': 'Masuda', 'orcid': '', 'full_name': 'Akio Masuda'}; {'given': 'Henriette Skovgaard', 'family': 'Andersen', 'orcid': '', 'full_name': 'Henriette Skovgaard Andersen'}; {'given': 'Thomas Koed', 'family': 'Doktor', 'orcid': '', 'full_name': 'Thomas Koed Doktor'}; {'given': 'Takaaki', 'family': 'Okamoto', 'orcid': '', 'full_name': 'Takaaki Okamoto'}; {'given': 'Mikako', 'family': 'Ito', 'orcid': '', 'full_name': 'Mikako Ito'}; {'given': 'Brage Storstein', 'family': 'Andresen', 'orcid': '', 'full_name': 'Brage Storstein Andresen'}; {'given': 'Kinji', 'family': 'Ohno', 'orcid': '', 'full_name': 'Kinji Ohno'}",2025-11-01T23:42:54.625796,2012-01-04T10:08:47Z,,journal-article,crossref,,2045-2322,Scientific Reports,en,,"{'url': 'https://creativecommons.org/licenses/by-nc-sa/3.0/', 'start': {'date-parts': [[2012, 1, 4]], 'date-time': '2012-01-04T00:00:00Z', 'timestamp': 1325635200000}}; {'url': 'https://creativecommons.org/licenses/by-nc-sa/3.0/', 'start': {'date-parts': [[2012, 1, 4]], 'date-time': '2012-01-04T00:00:00Z', 'timestamp': 1325635200000}}",2012,,2023-01-06T04:51:55Z
10.1038/srep00208,Zscan4 transiently reactivates early embryonic genes during the generation of induced pluripotent stem cells,Tetsuya Hirata; Tomokazu Amano; Yuhki Nakatake; Misa Amano; Yulan Piao; Hien G. Hoang; Minoru S. H. Ko,2012-01-04,2,1,,208,82,Springer Science and Business Media LLC,,"{'given': 'Tetsuya', 'family': 'Hirata', 'orcid': '', 'full_name': 'Tetsuya Hirata'}; {'given': 'Tomokazu', 'family': 'Amano', 'orcid': '', 'full_name': 'Tomokazu Amano'}; {'given': 'Yuhki', 'family': 'Nakatake', 'orcid': '', 'full_name': 'Yuhki Nakatake'}; {'given': 'Misa', 'family': 'Amano', 'orcid': '', 'full_name': 'Misa Amano'}; {'given': 'Yulan', 'family': 'Piao', 'orcid': '', 'full_name': 'Yulan Piao'}; {'given': 'Hien G.', 'family': 'Hoang', 'orcid': '', 'full_name': 'Hien G. Hoang'}; {'given': 'Minoru S. H.', 'family': 'Ko', 'orcid': '', 'full_name': 'Minoru S. H. Ko'}",2025-11-01T23:42:54.625870,2012-01-04T10:09:17Z,,journal-article,crossref,,2045-2322,Scientific Reports,en,,"{'url': 'https://creativecommons.org/licenses/by-nc-sa/3.0/', 'start': {'date-parts': [[2012, 1, 4]], 'date-time': '2012-01-04T00:00:00Z', 'timestamp': 1325635200000}}; {'url': 'https://creativecommons.org/licenses/by-nc-sa/3.0/', 'start': {'date-parts': [[2012, 1, 4]], 'date-time': '2012-01-04T00:00:00Z', 'timestamp': 1325635200000}}",2012,,2023-01-06T04:51:57Z
10.1038/srep00210,Drosophila growth-blocking peptide-like factor mediates acute immune reactions during infectious and non-infectious stress,Seiji Tsuzuki; Masanori Ochiai; Hitoshi Matsumoto; Shoichiro Kurata; Atsushi Ohnishi; Yoichi Hayakawa,2012-01-05,2,1,,210,60,Springer Science and Business Media LLC,,"{'given': 'Seiji', 'family': 'Tsuzuki', 'orcid': '', 'full_name': 'Seiji Tsuzuki'}; {'given': 'Masanori', 'family': 'Ochiai', 'orcid': '', 'full_name': 'Masanori Ochiai'}; {'given': 'Hitoshi', 'family': 'Matsumoto', 'orcid': '', 'full_name': 'Hitoshi Matsumoto'}; {'given': 'Shoichiro', 'family': 'Kurata', 'orcid': '', 'full_name': 'Shoichiro Kurata'}; {'given': 'Atsushi', 'family': 'Ohnishi', 'orcid': '', 'full_name': 'Atsushi Ohnishi'}; {'given': 'Yoichi', 'family': 'Hayakawa', 'orcid': '', 'full_name': 'Yoichi Hayakawa'}",2025-11-01T23:42:54.625920,2012-01-05T17:46:50Z,,journal-article,crossref,,2045-2322,Scientific Reports,en,,"{'url': 'https://creativecommons.org/licenses/by-nc-sa/3.0/', 'start': {'date-parts': [[2012, 1, 5]], 'date-time': '2012-01-05T00:00:00Z', 'timestamp': 1325721600000}}; {'url': 'https://creativecommons.org/licenses/by-nc-sa/3.0/', 'start': {'date-parts': [[2012, 1, 5]], 'date-time': '2012-01-05T00:00:00Z', 'timestamp': 1325721600000}}",2012,,2023-01-06T04:51:51Z
10.1038/srep00211,Functionalized carboxyl nanoparticles enhance mucus dispersion and hydration,Eric Y. Chen; David Daley; Yung-Chen Wang; Maria Garnica; Chi-Shuo Chen; Wei-Chun Chin,2012-01-05,2,1,,211,19,Springer Science and Business Media LLC,,"{'given': 'Eric Y.', 'family': 'Chen', 'orcid': '', 'full_name': 'Eric Y. Chen'}; {'given': 'David', 'family': 'Daley', 'orcid': '', 'full_name': 'David Daley'}; {'given': 'Yung-Chen', 'family': 'Wang', 'orcid': '', 'full_name': 'Yung-Chen Wang'}; {'given': 'Maria', 'family': 'Garnica', 'orcid': '', 'full_name': 'Maria Garnica'}; {'given': 'Chi-Shuo', 'family': 'Chen', 'orcid': '', 'full_name': 'Chi-Shuo Chen'}; {'given': 'Wei-Chun', 'family': 'Chin', 'orcid': '', 'full_name': 'Wei-Chun Chin'}",2025-11-01T23:42:54.625965,2012-01-05T17:44:19Z,,journal-article,crossref,,2045-2322,Scientific Reports,en,,"{'url': 'https://creativecommons.org/licenses/by-nc-sa/3.0/', 'start': {'date-parts': [[2012, 1, 5]], 'date-time': '2012-01-05T00:00:00Z', 'timestamp': 1325721600000}}; {'url': 'https://creativecommons.org/licenses/by-nc-sa/3.0/', 'start': {'date-parts': [[2012, 1, 5]], 'date-time': '2012-01-05T00:00:00Z', 'timestamp': 1325721600000}}",2012,,2023-01-06T04:51:41Z
10.1038/srep00212,Electronic and magnetic phase diagram in KxFe2-ySe2 superconductors,Y. J. Yan; M. Zhang; A. F. Wang; J. J. Ying; Z. Y. Li; W. Qin; X. G. Luo; J. Q. Li; Jiangping Hu; X. H. Chen,2012-01-06,2,1,,212,109,Springer Science and Business Media LLC,,"{'given': 'Y. J.', 'family': 'Yan', 'orcid': '', 'full_name': 'Y. J. Yan'}; {'given': 'M.', 'family': 'Zhang', 'orcid': '', 'full_name': 'M. Zhang'}; {'given': 'A. F.', 'family': 'Wang', 'orcid': '', 'full_name': 'A. F. Wang'}; {'given': 'J. J.', 'family': 'Ying', 'orcid': '', 'full_name': 'J. J. Ying'}; {'given': 'Z. Y.', 'family': 'Li', 'orcid': '', 'full_name': 'Z. Y. Li'}; {'given': 'W.', 'family': 'Qin', 'orcid': '', 'full_name': 'W. Qin'}; {'given': 'X. G.', 'family': 'Luo', 'orcid': '', 'full_name': 'X. G. Luo'}; {'given': 'J. Q.', 'family': 'Li', 'orcid': '', 'full_name': 'J. Q. Li'}; {'given': 'Jiangping', 'family': 'Hu', 'orcid': '', 'full_name': 'Jiangping Hu'}; {'given': 'X. H.', 'family': 'Chen', 'orcid': '', 'full_name': 'X. H. Chen'}",2025-11-01T23:42:54.626018,2012-01-06T11:47:18Z,,journal-article,crossref,,2045-2322,Scientific Reports,en,,"{'url': 'https://creativecommons.org/licenses/by-nc-nd/3.0/', 'start': {'date-parts': [[2012, 1, 6]], 'date-time': '2012-01-06T00:00:00Z', 'timestamp': 1325808000000}}; {'url': 'https://creativecommons.org/licenses/by-nc-nd/3.0/', 'start': {'date-parts': [[2012, 1, 6]], 'date-time': '2012-01-06T00:00:00Z', 'timestamp': 1325808000000}}",2012,,2023-01-06T04:51:34Z
10.1038/srep00213,A novel platform to enable the high-throughput derivation and characterization of feeder-free human iPSCs,Bahram Valamehr; Ramzey Abujarour; Megan Robinson; Thuy Le; David Robbins; Daniel Shoemaker; Peter Flynn,2012-01-06,2,1,,213,63,Springer Science and Business Media LLC,,"{'given': 'Bahram', 'family': 'Valamehr', 'orcid': '', 'full_name': 'Bahram Valamehr'}; {'given': 'Ramzey', 'family': 'Abujarour', 'orcid': '', 'full_name': 'Ramzey Abujarour'}; {'given': 'Megan', 'family': 'Robinson', 'orcid': '', 'full_name': 'Megan Robinson'}; {'given': 'Thuy', 'family': 'Le', 'orcid': '', 'full_name': 'Thuy Le'}; {'given': 'David', 'family': 'Robbins', 'orcid': '', 'full_name': 'David Robbins'}; {'given': 'Daniel', 'family': 'Shoemaker', 'orcid': '', 'full_name': 'Daniel Shoemaker'}; {'given': 'Peter', 'family': 'Flynn', 'orcid': '', 'full_name': 'Peter Flynn'}",2025-11-01T23:42:54.626061,2012-01-06T11:47:39Z,,journal-article,crossref,,2045-2322,Scientific Reports,en,,"{'url': 'https://creativecommons.org/licenses/by-nc-nd/3.0/', 'start': {'date-parts': [[2012, 1, 6]], 'date-time': '2012-01-06T00:00:00Z', 'timestamp': 1325808000000}}; {'url': 'https://creativecommons.org/licenses/by-nc-nd/3.0/', 'start': {'date-parts': [[2012, 1, 6]], 'date-time': '2012-01-06T00:00:00Z', 'timestamp': 1325808000000}}",2012,,2023-01-06T04:51:23Z
10.1038/srep00215,Discrimination of the oral microbiota associated with high hydrogen sulfide and methyl mercaptan production,Toru Takeshita; Nao Suzuki; Yoshio Nakano; Masaki Yasui; Masahiro Yoneda; Yoshihiro Shimazaki; Takao Hirofuji; Yoshihisa Yamashita,2012-01-09,2,1,,215,77,Springer Science and Business Media LLC,,"{'given': 'Toru', 'family': 'Takeshita', 'orcid': '', 'full_name': 'Toru Takeshita'}; {'given': 'Nao', 'family': 'Suzuki', 'orcid': '', 'full_name': 'Nao Suzuki'}; {'given': 'Yoshio', 'family': 'Nakano', 'orcid': '', 'full_name': 'Yoshio Nakano'}; {'given': 'Masaki', 'family': 'Yasui', 'orcid': '', 'full_name': 'Masaki Yasui'}; {'given': 'Masahiro', 'family': 'Yoneda', 'orcid': '', 'full_name': 'Masahiro Yoneda'}; {'given': 'Yoshihiro', 'family': 'Shimazaki', 'orcid': '', 'full_name': 'Yoshihiro Shimazaki'}; {'given': 'Takao', 'family': 'Hirofuji', 'orcid': '', 'full_name': 'Takao Hirofuji'}; {'given': 'Yoshihisa', 'family': 'Yamashita', 'orcid': '', 'full_name': 'Yoshihisa Yamashita'}",2025-11-01T23:42:54.626106,2012-01-09T14:15:34Z,,journal-article,crossref,,2045-2322,Scientific Reports,en,,"{'url': 'https://creativecommons.org/licenses/by-nc-sa/3.0/', 'start': {'date-parts': [[2012, 1, 9]], 'date-time': '2012-01-09T00:00:00Z', 'timestamp': 1326067200000}}; {'url': 'https://creativecommons.org/licenses/by-nc-sa/3.0/', 'start': {'date-parts': [[2012, 1, 9]], 'date-time': '2012-01-09T00:00:00Z', 'timestamp': 1326067200000}}",2012,,2023-01-06T04:51:26Z
10.1038/srep00214,Analytical method of predicting turbulence transition in pipe flow,Henri Soumerai; Brigid E. Soumerai-Bourke,2012-01-09,2,1,,214,0,Springer Science and Business Media LLC,,"{'given': 'Henri', 'family': 'Soumerai', 'orcid': '', 'full_name': 'Henri Soumerai'}; {'given': 'Brigid E.', 'family': 'Soumerai-Bourke', 'orcid': '', 'full_name': 'Brigid E. Soumerai-Bourke'}",2025-11-01T23:42:54.626140,2012-01-09T14:27:30Z,,journal-article,crossref,,2045-2322,Scientific Reports,en,,"{'url': 'https://creativecommons.org/licenses/by-nc-sa/3.0/', 'start': {'date-parts': [[2012, 1, 9]], 'date-time': '2012-01-09T00:00:00Z', 'timestamp': 1326067200000}}; {'url': 'https://creativecommons.org/licenses/by-nc-sa/3.0/', 'start': {'date-parts': [[2012, 1, 9]], 'date-time': '2012-01-09T00:00:00Z', 'timestamp': 1326067200000}}",2012,,2023-01-06T04:51:32Z
10.1038/srep00217,Unsymmetrical hot electron heating in quasi-ballistic nanocontacts,Makusu Tsutsui; Tomoji Kawai; Masateru Taniguchi,2012-01-10,2,1,,217,25,Springer Science and Business Media LLC,,"{'given': 'Makusu', 'family': 'Tsutsui', 'orcid': '', 'full_name': 'Makusu Tsutsui'}; {'given': 'Tomoji', 'family': 'Kawai', 'orcid': '', 'full_name': 'Tomoji Kawai'}; {'given': 'Masateru', 'family': 'Taniguchi', 'orcid': '', 'full_name': 'Masateru Taniguchi'}",2025-11-01T23:42:54.626174,2012-01-10T01:16:32Z,,journal-article,crossref,,2045-2322,Scientific Reports,en,,"{'url': 'https://creativecommons.org/licenses/by-nc-sa/3.0/', 'start': {'date-parts': [[2012, 1, 10]], 'date-time': '2012-01-10T00:00:00Z', 'timestamp': 1326153600000}}; {'url': 'https://creativecommons.org/licenses/by-nc-sa/3.0/', 'start': {'date-parts': [[2012, 1, 10]], 'date-time': '2012-01-10T00:00:00Z', 'timestamp': 1326153600000}}",2012,,2025-03-18T17:06:55Z
10.1038/srep00216,Multifunctional CD4 T Cell Responses in Patients with Active Tuberculosis,Zhengang Qiu; Mingxia Zhang; Yuzhen Zhu; Feiqun Zheng; Puxuan Lu; Haiying Liu; Michael W. Graner; Boping Zhou; Xinchun Chen,2012-01-10,2,1,,216,63,Springer Science and Business Media LLC,,"{'given': 'Zhengang', 'family': 'Qiu', 'orcid': '', 'full_name': 'Zhengang Qiu'}; {'given': 'Mingxia', 'family': 'Zhang', 'orcid': '', 'full_name': 'Mingxia Zhang'}; {'given': 'Yuzhen', 'family': 'Zhu', 'orcid': '', 'full_name': 'Yuzhen Zhu'}; {'given': 'Feiqun', 'family': 'Zheng', 'orcid': '', 'full_name': 'Feiqun Zheng'}; {'given': 'Puxuan', 'family': 'Lu', 'orcid': '', 'full_name': 'Puxuan Lu'}; {'given': 'Haiying', 'family': 'Liu', 'orcid': '', 'full_name': 'Haiying Liu'}; {'given': 'Michael W.', 'family': 'Graner', 'orcid': '', 'full_name': 'Michael W. Graner'}; {'given': 'Boping', 'family': 'Zhou', 'orcid': '', 'full_name': 'Boping Zhou'}; {'given': 'Xinchun', 'family': 'Chen', 'orcid': '', 'full_name': 'Xinchun Chen'}",2025-11-01T23:42:54.626222,2012-01-10T01:13:20Z,,journal-article,crossref,,2045-2322,Scientific Reports,en,,"{'url': 'https://creativecommons.org/licenses/by-nc-sa/3.0/', 'start': {'date-parts': [[2012, 1, 10]], 'date-time': '2012-01-10T00:00:00Z', 'timestamp': 1326153600000}}; {'url': 'https://creativecommons.org/licenses/by-nc-sa/3.0/', 'start': {'date-parts': [[2012, 1, 10]], 'date-time': '2012-01-10T00:00:00Z', 'timestamp': 1326153600000}}",2012,,2023-01-06T04:51:18Z
