doi,title,authors,published_date,volume,issue,page,article_number,citation_count,publisher,abstract,author_details,collection_timestamp,created_date,crossref_subtype,crossref_type,data_source,first_page,issn_list,journal,language,last_page,license_info,publication_year,subject_areas,updated_date
10.1038/ncomms2340,Exotic non-Abelian anyons from conventional fractional quantum Hall states,David J. Clarke; Jason Alicea; Kirill Shtengel,2013-01-08,4,1,,1348,323,Springer Science and Business Media LLC,,"{'given': 'David J.', 'family': 'Clarke', 'orcid': '', 'full_name': 'David J. Clarke'}; {'given': 'Jason', 'family': 'Alicea', 'orcid': '', 'full_name': 'Jason Alicea'}; {'given': 'Kirill', 'family': 'Shtengel', 'orcid': '', 'full_name': 'Kirill Shtengel'}",2025-11-02T07:27:04.534332,2013-01-08T15:16:51Z,,journal-article,crossref,,2041-1723,Nature Communications,en,,"{'url': 'https://www.springernature.com/gp/researchers/text-and-data-mining', 'start': {'date-parts': [[2013, 1, 8]], 'date-time': '2013-01-08T00:00:00Z', 'timestamp': 1357603200000}}; {'url': 'https://www.springernature.com/gp/researchers/text-and-data-mining', 'start': {'date-parts': [[2013, 1, 8]], 'date-time': '2013-01-08T00:00:00Z', 'timestamp': 1357603200000}}",2013,,2023-01-06T02:19:35Z
10.1038/ncomms2335,Mid-infrared optical frequency combs at 2.5 μm based on crystalline microresonators,C. Y. Wang; T. Herr; P. Del’Haye; A. Schliesser; J. Hofer; R. Holzwarth; T. W. Hänsch; N. Picqué; T. J. Kippenberg,2013-01-08,4,1,,1345,257,Springer Science and Business Media LLC,,"{'given': 'C. Y.', 'family': 'Wang', 'orcid': '', 'full_name': 'C. Y. Wang'}; {'given': 'T.', 'family': 'Herr', 'orcid': '', 'full_name': 'T. Herr'}; {'given': 'P.', 'family': 'Del’Haye', 'orcid': '', 'full_name': 'P. Del’Haye'}; {'given': 'A.', 'family': 'Schliesser', 'orcid': '', 'full_name': 'A. Schliesser'}; {'given': 'J.', 'family': 'Hofer', 'orcid': '', 'full_name': 'J. Hofer'}; {'given': 'R.', 'family': 'Holzwarth', 'orcid': '', 'full_name': 'R. Holzwarth'}; {'given': 'T. W.', 'family': 'Hänsch', 'orcid': '', 'full_name': 'T. W. Hänsch'}; {'given': 'N.', 'family': 'Picqué', 'orcid': '', 'full_name': 'N. Picqué'}; {'given': 'T. J.', 'family': 'Kippenberg', 'orcid': '', 'full_name': 'T. J. Kippenberg'}",2025-11-02T07:27:04.534408,2013-01-08T15:16:51Z,,journal-article,crossref,,2041-1723,Nature Communications,en,,"{'url': 'https://creativecommons.org/licenses/by-nc-nd/3.0/', 'start': {'date-parts': [[2013, 1, 8]], 'date-time': '2013-01-08T00:00:00Z', 'timestamp': 1357603200000}}; {'url': 'https://creativecommons.org/licenses/by-nc-nd/3.0/', 'start': {'date-parts': [[2013, 1, 8]], 'date-time': '2013-01-08T00:00:00Z', 'timestamp': 1357603200000}}",2013,,2023-01-06T02:19:38Z
10.1038/ncomms2329,Reversible control of magnetic interactions by electric field in a single-phase material,P. J. Ryan; J-W Kim; T. Birol; P. Thompson; J-H. Lee; X. Ke; P. S. Normile; E. Karapetrova; P. Schiffer; S. D. Brown; C. J. Fennie; D. G. Schlom,2013-01-08,4,1,,1334,75,Springer Science and Business Media LLC,,"{'given': 'P. J.', 'family': 'Ryan', 'orcid': '', 'full_name': 'P. J. Ryan'}; {'given': 'J-W', 'family': 'Kim', 'orcid': '', 'full_name': 'J-W Kim'}; {'given': 'T.', 'family': 'Birol', 'orcid': '', 'full_name': 'T. Birol'}; {'given': 'P.', 'family': 'Thompson', 'orcid': '', 'full_name': 'P. Thompson'}; {'given': 'J-H.', 'family': 'Lee', 'orcid': '', 'full_name': 'J-H. Lee'}; {'given': 'X.', 'family': 'Ke', 'orcid': '', 'full_name': 'X. Ke'}; {'given': 'P. S.', 'family': 'Normile', 'orcid': '', 'full_name': 'P. S. Normile'}; {'given': 'E.', 'family': 'Karapetrova', 'orcid': '', 'full_name': 'E. Karapetrova'}; {'given': 'P.', 'family': 'Schiffer', 'orcid': '', 'full_name': 'P. Schiffer'}; {'given': 'S. D.', 'family': 'Brown', 'orcid': '', 'full_name': 'S. D. Brown'}; {'given': 'C. J.', 'family': 'Fennie', 'orcid': '', 'full_name': 'C. J. Fennie'}; {'given': 'D. G.', 'family': 'Schlom', 'orcid': '', 'full_name': 'D. G. Schlom'}",2025-11-02T07:27:04.534473,2013-01-08T15:16:51Z,,journal-article,crossref,,2041-1723,Nature Communications,en,,"{'url': 'https://www.springernature.com/gp/researchers/text-and-data-mining', 'start': {'date-parts': [[2013, 1, 8]], 'date-time': '2013-01-08T00:00:00Z', 'timestamp': 1357603200000}}; {'url': 'https://www.springernature.com/gp/researchers/text-and-data-mining', 'start': {'date-parts': [[2013, 1, 8]], 'date-time': '2013-01-08T00:00:00Z', 'timestamp': 1357603200000}}",2013,,2023-01-06T02:20:13Z
10.1038/ncomms2344,Kinship reduces alloparental care in cooperative cichlids where helpers pay-to-stay,Markus Zöttl; Dik Heg; Noémie Chervet; Michael Taborsky,2013-01-08,4,1,,1341,110,Springer Science and Business Media LLC,,"{'given': 'Markus', 'family': 'Zöttl', 'orcid': '', 'full_name': 'Markus Zöttl'}; {'given': 'Dik', 'family': 'Heg', 'orcid': '', 'full_name': 'Dik Heg'}; {'given': 'Noémie', 'family': 'Chervet', 'orcid': '', 'full_name': 'Noémie Chervet'}; {'given': 'Michael', 'family': 'Taborsky', 'orcid': '', 'full_name': 'Michael Taborsky'}",2025-11-02T07:27:04.534515,2013-01-08T15:16:51Z,,journal-article,crossref,,2041-1723,Nature Communications,en,,"{'url': 'https://www.springernature.com/gp/researchers/text-and-data-mining', 'start': {'date-parts': [[2013, 1, 8]], 'date-time': '2013-01-08T00:00:00Z', 'timestamp': 1357603200000}}; {'url': 'https://www.springernature.com/gp/researchers/text-and-data-mining', 'start': {'date-parts': [[2013, 1, 8]], 'date-time': '2013-01-08T00:00:00Z', 'timestamp': 1357603200000}}",2013,,2024-05-04T12:47:57Z
10.1038/ncomms2320,A safe lithium mimetic for bipolar disorder,Nisha Singh; Amy C. Halliday; Justyn M. Thomas; Olga V. Kuznetsova; Rhiannon Baldwin; Esther C. Y. Woon; Parvinder K. Aley; Ivi Antoniadou; Trevor Sharp; Sridhar R. Vasudevan; Grant C. Churchill,2013-01-08,4,1,,1332,219,Springer Science and Business Media LLC,,"{'given': 'Nisha', 'family': 'Singh', 'orcid': '', 'full_name': 'Nisha Singh'}; {'given': 'Amy C.', 'family': 'Halliday', 'orcid': '', 'full_name': 'Amy C. Halliday'}; {'given': 'Justyn M.', 'family': 'Thomas', 'orcid': '', 'full_name': 'Justyn M. Thomas'}; {'given': 'Olga V.', 'family': 'Kuznetsova', 'orcid': '', 'full_name': 'Olga V. Kuznetsova'}; {'given': 'Rhiannon', 'family': 'Baldwin', 'orcid': '', 'full_name': 'Rhiannon Baldwin'}; {'given': 'Esther C. Y.', 'family': 'Woon', 'orcid': '', 'full_name': 'Esther C. Y. Woon'}; {'given': 'Parvinder K.', 'family': 'Aley', 'orcid': '', 'full_name': 'Parvinder K. Aley'}; {'given': 'Ivi', 'family': 'Antoniadou', 'orcid': '', 'full_name': 'Ivi Antoniadou'}; {'given': 'Trevor', 'family': 'Sharp', 'orcid': '', 'full_name': 'Trevor Sharp'}; {'given': 'Sridhar R.', 'family': 'Vasudevan', 'orcid': '', 'full_name': 'Sridhar R. Vasudevan'}; {'given': 'Grant C.', 'family': 'Churchill', 'orcid': '', 'full_name': 'Grant C. Churchill'}",2025-11-02T07:27:04.534568,2013-01-08T15:16:51Z,,journal-article,crossref,,2041-1723,Nature Communications,en,,"{'url': 'https://www.springernature.com/gp/researchers/text-and-data-mining', 'start': {'date-parts': [[2013, 1, 8]], 'date-time': '2013-01-08T00:00:00Z', 'timestamp': 1357603200000}}; {'url': 'https://www.springernature.com/gp/researchers/text-and-data-mining', 'start': {'date-parts': [[2013, 1, 8]], 'date-time': '2013-01-08T00:00:00Z', 'timestamp': 1357603200000}}",2013,,2023-01-06T02:20:28Z
10.1038/ncomms2337,High current superconductivity in FeSe0.5Te0.5-coated conductors at 30 tesla,Weidong Si; Su Jung Han; Xiaoya Shi; Steven N. Ehrlich; J Jaroszynski; Amit Goyal; Qiang Li,2013-01-08,4,1,,1347,207,Springer Science and Business Media LLC,,"{'given': 'Weidong', 'family': 'Si', 'orcid': '', 'full_name': 'Weidong Si'}; {'given': 'Su Jung', 'family': 'Han', 'orcid': '', 'full_name': 'Su Jung Han'}; {'given': 'Xiaoya', 'family': 'Shi', 'orcid': '', 'full_name': 'Xiaoya Shi'}; {'given': 'Steven N.', 'family': 'Ehrlich', 'orcid': '', 'full_name': 'Steven N. Ehrlich'}; {'given': 'J', 'family': 'Jaroszynski', 'orcid': '', 'full_name': 'J Jaroszynski'}; {'given': 'Amit', 'family': 'Goyal', 'orcid': '', 'full_name': 'Amit Goyal'}; {'given': 'Qiang', 'family': 'Li', 'orcid': '', 'full_name': 'Qiang Li'}",2025-11-02T07:27:04.534615,2013-01-08T15:16:51Z,,journal-article,crossref,,2041-1723,Nature Communications,en,,"{'url': 'https://www.springernature.com/gp/researchers/text-and-data-mining', 'start': {'date-parts': [[2013, 1, 8]], 'date-time': '2013-01-08T00:00:00Z', 'timestamp': 1357603200000}}; {'url': 'https://www.springernature.com/gp/researchers/text-and-data-mining', 'start': {'date-parts': [[2013, 1, 8]], 'date-time': '2013-01-08T00:00:00Z', 'timestamp': 1357603200000}}",2013,,2023-01-06T02:19:32Z
10.1038/ncomms2334,Germinal centre protein HGAL promotes lymphoid hyperplasia and amyloidosis via BCR-mediated Syk activation,Isabel Romero-Camarero; Xiaoyu Jiang; Yasodha Natkunam; Xiaoqing Lu; Carolina Vicente-Dueñas; Ines Gonzalez-Herrero; Teresa Flores; Juan Luis Garcia; George McNamara; Christian Kunder; Shuchun Zhao; Victor Segura; Lorena Fontan; Jose A. Martínez-Climent; Francisco Javier García-Criado; Jason D. Theis; Ahmet Dogan; Elena Campos-Sánchez; Michael R. Green; Ash A. Alizadeh; Cesar Cobaleda; Isidro Sánchez-García; Izidore S Lossos,2013-01-08,4,1,,1338,39,Springer Science and Business Media LLC,,"{'given': 'Isabel', 'family': 'Romero-Camarero', 'orcid': '', 'full_name': 'Isabel Romero-Camarero'}; {'given': 'Xiaoyu', 'family': 'Jiang', 'orcid': '', 'full_name': 'Xiaoyu Jiang'}; {'given': 'Yasodha', 'family': 'Natkunam', 'orcid': '', 'full_name': 'Yasodha Natkunam'}; {'given': 'Xiaoqing', 'family': 'Lu', 'orcid': '', 'full_name': 'Xiaoqing Lu'}; {'given': 'Carolina', 'family': 'Vicente-Dueñas', 'orcid': '', 'full_name': 'Carolina Vicente-Dueñas'}; {'given': 'Ines', 'family': 'Gonzalez-Herrero', 'orcid': '', 'full_name': 'Ines Gonzalez-Herrero'}; {'given': 'Teresa', 'family': 'Flores', 'orcid': '', 'full_name': 'Teresa Flores'}; {'given': 'Juan', 'family': 'Luis Garcia', 'orcid': '', 'full_name': 'Juan Luis Garcia'}; {'given': 'George', 'family': 'McNamara', 'orcid': '', 'full_name': 'George McNamara'}; {'given': 'Christian', 'family': 'Kunder', 'orcid': '', 'full_name': 'Christian Kunder'}; {'given': 'Shuchun', 'family': 'Zhao', 'orcid': '', 'full_name': 'Shuchun Zhao'}; {'given': 'Victor', 'family': 'Segura', 'orcid': '', 'full_name': 'Victor Segura'}; {'given': 'Lorena', 'family': 'Fontan', 'orcid': '', 'full_name': 'Lorena Fontan'}; {'given': 'Jose A.', 'family': 'Martínez-Climent', 'orcid': '', 'full_name': 'Jose A. Martínez-Climent'}; {'given': 'Francisco', 'family': 'Javier García-Criado', 'orcid': '', 'full_name': 'Francisco Javier García-Criado'}; {'given': 'Jason D.', 'family': 'Theis', 'orcid': '', 'full_name': 'Jason D. Theis'}; {'given': 'Ahmet', 'family': 'Dogan', 'orcid': '', 'full_name': 'Ahmet Dogan'}; {'given': 'Elena', 'family': 'Campos-Sánchez', 'orcid': '', 'full_name': 'Elena Campos-Sánchez'}; {'given': 'Michael R.', 'family': 'Green', 'orcid': '', 'full_name': 'Michael R. Green'}; {'given': 'Ash A.', 'family': 'Alizadeh', 'orcid': '', 'full_name': 'Ash A. Alizadeh'}; {'given': 'Cesar', 'family': 'Cobaleda', 'orcid': '', 'full_name': 'Cesar Cobaleda'}; {'given': 'Isidro', 'family': 'Sánchez-García', 'orcid': '', 'full_name': 'Isidro Sánchez-García'}; {'given': 'Izidore S', 'family': 'Lossos', 'orcid': '', 'full_name': 'Izidore S Lossos'}",2025-11-02T07:27:04.534692,2013-01-08T15:16:51Z,,journal-article,crossref,,2041-1723,Nature Communications,en,,"{'url': 'https://www.springernature.com/gp/researchers/text-and-data-mining', 'start': {'date-parts': [[2013, 1, 8]], 'date-time': '2013-01-08T00:00:00Z', 'timestamp': 1357603200000}}; {'url': 'https://www.springernature.com/gp/researchers/text-and-data-mining', 'start': {'date-parts': [[2013, 1, 8]], 'date-time': '2013-01-08T00:00:00Z', 'timestamp': 1357603200000}}",2013,,2023-01-06T02:19:41Z
10.1038/ncomms2328,Higher levels of multiple ecosystem services are found in forests with more tree species,Lars Gamfeldt; Tord Snäll; Robert Bagchi; Micael Jonsson; Lena Gustafsson; Petter Kjellander; María C. Ruiz-Jaen; Mats Fröberg; Johan Stendahl; Christopher D. Philipson; Grzegorz Mikusiński; Erik Andersson; Bertil Westerlund; Henrik Andrén; Fredrik Moberg; Jon Moen; Jan Bengtsson,2013-01-08,4,1,,1340,1158,Springer Science and Business Media LLC,,"{'given': 'Lars', 'family': 'Gamfeldt', 'orcid': '', 'full_name': 'Lars Gamfeldt'}; {'given': 'Tord', 'family': 'Snäll', 'orcid': '', 'full_name': 'Tord Snäll'}; {'given': 'Robert', 'family': 'Bagchi', 'orcid': '', 'full_name': 'Robert Bagchi'}; {'given': 'Micael', 'family': 'Jonsson', 'orcid': '', 'full_name': 'Micael Jonsson'}; {'given': 'Lena', 'family': 'Gustafsson', 'orcid': '', 'full_name': 'Lena Gustafsson'}; {'given': 'Petter', 'family': 'Kjellander', 'orcid': '', 'full_name': 'Petter Kjellander'}; {'given': 'María C.', 'family': 'Ruiz-Jaen', 'orcid': '', 'full_name': 'María C. Ruiz-Jaen'}; {'given': 'Mats', 'family': 'Fröberg', 'orcid': '', 'full_name': 'Mats Fröberg'}; {'given': 'Johan', 'family': 'Stendahl', 'orcid': '', 'full_name': 'Johan Stendahl'}; {'given': 'Christopher D.', 'family': 'Philipson', 'orcid': '', 'full_name': 'Christopher D. Philipson'}; {'given': 'Grzegorz', 'family': 'Mikusiński', 'orcid': '', 'full_name': 'Grzegorz Mikusiński'}; {'given': 'Erik', 'family': 'Andersson', 'orcid': '', 'full_name': 'Erik Andersson'}; {'given': 'Bertil', 'family': 'Westerlund', 'orcid': '', 'full_name': 'Bertil Westerlund'}; {'given': 'Henrik', 'family': 'Andrén', 'orcid': '', 'full_name': 'Henrik Andrén'}; {'given': 'Fredrik', 'family': 'Moberg', 'orcid': '', 'full_name': 'Fredrik Moberg'}; {'given': 'Jon', 'family': 'Moen', 'orcid': '', 'full_name': 'Jon Moen'}; {'given': 'Jan', 'family': 'Bengtsson', 'orcid': '', 'full_name': 'Jan Bengtsson'}",2025-11-02T07:27:04.534761,2013-01-08T15:16:51Z,,journal-article,crossref,,2041-1723,Nature Communications,en,,"{'url': 'http://creativecommons.org/licenses/by-nc-sa/3.0', 'start': {'date-parts': [[2013, 1, 8]], 'date-time': '2013-01-08T00:00:00Z', 'timestamp': 1357603200000}}",2013,,2023-01-06T02:20:11Z
10.1038/ncomms2343,Functional genomics identifies type I interferon pathway as central for host defense against Candida albicans,Sanne P. Smeekens; Aylwin Ng; Vinod Kumar; Melissa D. Johnson; Theo S. Plantinga; Cleo van Diemen; Peer Arts; Eugène T. P. Verwiel; Mark S. Gresnigt; Karin Fransen; Suzanne van Sommeren; Marije Oosting; Shih-Chin Cheng; Leo A. B. Joosten; Alexander Hoischen; Bart-Jan Kullberg; William K. Scott; John R. Perfect; Jos W. M. van der Meer; Cisca Wijmenga; Mihai G. Netea; Ramnik J. Xavier,2013-01-08,4,1,,1342,168,Springer Science and Business Media LLC,,"{'given': 'Sanne P.', 'family': 'Smeekens', 'orcid': '', 'full_name': 'Sanne P. Smeekens'}; {'given': 'Aylwin', 'family': 'Ng', 'orcid': '', 'full_name': 'Aylwin Ng'}; {'given': 'Vinod', 'family': 'Kumar', 'orcid': '', 'full_name': 'Vinod Kumar'}; {'given': 'Melissa D.', 'family': 'Johnson', 'orcid': '', 'full_name': 'Melissa D. Johnson'}; {'given': 'Theo S.', 'family': 'Plantinga', 'orcid': '', 'full_name': 'Theo S. Plantinga'}; {'given': 'Cleo', 'family': 'van Diemen', 'orcid': '', 'full_name': 'Cleo van Diemen'}; {'given': 'Peer', 'family': 'Arts', 'orcid': '', 'full_name': 'Peer Arts'}; {'given': 'Eugène T. P.', 'family': 'Verwiel', 'orcid': '', 'full_name': 'Eugène T. P. Verwiel'}; {'given': 'Mark S.', 'family': 'Gresnigt', 'orcid': '', 'full_name': 'Mark S. Gresnigt'}; {'given': 'Karin', 'family': 'Fransen', 'orcid': '', 'full_name': 'Karin Fransen'}; {'given': 'Suzanne', 'family': 'van Sommeren', 'orcid': '', 'full_name': 'Suzanne van Sommeren'}; {'given': 'Marije', 'family': 'Oosting', 'orcid': '', 'full_name': 'Marije Oosting'}; {'given': 'Shih-Chin', 'family': 'Cheng', 'orcid': '', 'full_name': 'Shih-Chin Cheng'}; {'given': 'Leo A. B.', 'family': 'Joosten', 'orcid': '', 'full_name': 'Leo A. B. Joosten'}; {'given': 'Alexander', 'family': 'Hoischen', 'orcid': '', 'full_name': 'Alexander Hoischen'}; {'given': 'Bart-Jan', 'family': 'Kullberg', 'orcid': '', 'full_name': 'Bart-Jan Kullberg'}; {'given': 'William K.', 'family': 'Scott', 'orcid': '', 'full_name': 'William K. Scott'}; {'given': 'John R.', 'family': 'Perfect', 'orcid': '', 'full_name': 'John R. Perfect'}; {'given': 'Jos W. M.', 'family': 'van der Meer', 'orcid': '', 'full_name': 'Jos W. M. van der Meer'}; {'given': 'Cisca', 'family': 'Wijmenga', 'orcid': '', 'full_name': 'Cisca Wijmenga'}; {'given': 'Mihai G.', 'family': 'Netea', 'orcid': '', 'full_name': 'Mihai G. Netea'}; {'given': 'Ramnik J.', 'family': 'Xavier', 'orcid': '', 'full_name': 'Ramnik J. Xavier'}",2025-11-02T07:27:04.534877,2013-01-08T15:16:51Z,,journal-article,crossref,,2041-1723,Nature Communications,en,,"{'url': 'https://www.springernature.com/gp/researchers/text-and-data-mining', 'start': {'date-parts': [[2013, 1, 8]], 'date-time': '2013-01-08T00:00:00Z', 'timestamp': 1357603200000}}; {'url': 'https://www.springernature.com/gp/researchers/text-and-data-mining', 'start': {'date-parts': [[2013, 1, 8]], 'date-time': '2013-01-08T00:00:00Z', 'timestamp': 1357603200000}}",2013,,2024-05-04T12:48:01Z
10.1038/ncomms2327,Sulphur–TiO2 yolk–shell nanoarchitecture with internal void space for long-cycle lithium–sulphur batteries,Zhi Wei Seh; Weiyang Li; Judy J. Cha; Guangyuan Zheng; Yuan Yang; Matthew T. McDowell; Po-Chun Hsu; Yi Cui,2013-01-08,4,1,,1331,1961,Springer Science and Business Media LLC,,"{'given': 'Zhi', 'family': 'Wei Seh', 'orcid': '', 'full_name': 'Zhi Wei Seh'}; {'given': 'Weiyang', 'family': 'Li', 'orcid': '', 'full_name': 'Weiyang Li'}; {'given': 'Judy J.', 'family': 'Cha', 'orcid': '', 'full_name': 'Judy J. Cha'}; {'given': 'Guangyuan', 'family': 'Zheng', 'orcid': '', 'full_name': 'Guangyuan Zheng'}; {'given': 'Yuan', 'family': 'Yang', 'orcid': '', 'full_name': 'Yuan Yang'}; {'given': 'Matthew T.', 'family': 'McDowell', 'orcid': '', 'full_name': 'Matthew T. McDowell'}; {'given': 'Po-Chun', 'family': 'Hsu', 'orcid': '', 'full_name': 'Po-Chun Hsu'}; {'given': 'Yi', 'family': 'Cui', 'orcid': '', 'full_name': 'Yi Cui'}",2025-11-02T07:27:04.534924,2013-01-08T15:16:51Z,,journal-article,crossref,,2041-1723,Nature Communications,en,,"{'url': 'https://www.springernature.com/gp/researchers/text-and-data-mining', 'start': {'date-parts': [[2013, 1, 8]], 'date-time': '2013-01-08T00:00:00Z', 'timestamp': 1357603200000}}; {'url': 'https://www.springernature.com/gp/researchers/text-and-data-mining', 'start': {'date-parts': [[2013, 1, 8]], 'date-time': '2013-01-08T00:00:00Z', 'timestamp': 1357603200000}}",2013,,2023-01-06T02:19:51Z
