doi,title,authors,published_date,volume,issue,page,article_number,citation_count,publisher,abstract,author_details,collection_timestamp,created_date,crossref_subtype,crossref_type,data_source,first_page,issn_list,journal,language,last_page,license_info,publication_year,subject_areas,updated_date
10.1186/s12889-014-1342-5,Study CAMBIMED: Effects of changes in medication appearance on safety of antihypertensive and hypolipidemic treatments in chronic patients older than 65 years in primary health care,Jesús Arancon-Monge; Alicia de-Castro-Cuenca; Ángel Serrano-Vázquez; Luz Campos-Díaz; Montserrat Díaz-Eraso; Isabel del Cura-González; Elena Polentinos-Castro; Ricardo Rodríguez-Barrientos,2015-01-01,15,1,211,211,3,Springer Science and Business Media LLC,,"{'given': 'Jesús', 'family': 'Arancon-Monge', 'orcid': '', 'full_name': 'Jesús Arancon-Monge'}; {'given': 'Alicia', 'family': 'de-Castro-Cuenca', 'orcid': '', 'full_name': 'Alicia de-Castro-Cuenca'}; {'given': 'Ángel', 'family': 'Serrano-Vázquez', 'orcid': '', 'full_name': 'Ángel Serrano-Vázquez'}; {'given': 'Luz', 'family': 'Campos-Díaz', 'orcid': '', 'full_name': 'Luz Campos-Díaz'}; {'given': 'Montserrat', 'family': 'Díaz-Eraso', 'orcid': '', 'full_name': 'Montserrat Díaz-Eraso'}; {'given': 'Isabel', 'family': 'del Cura-González', 'orcid': '', 'full_name': 'Isabel del Cura-González'}; {'given': 'Elena', 'family': 'Polentinos-Castro', 'orcid': '', 'full_name': 'Elena Polentinos-Castro'}; {'given': 'Ricardo', 'family': 'Rodríguez-Barrientos', 'orcid': '', 'full_name': 'Ricardo Rodríguez-Barrientos'}",2025-11-02T12:31:42.938163,2015-03-03T01:56:56Z,,journal-article,crossref,211,1471-2458,BMC Public Health,en,,"{'url': 'http://creativecommons.org/licenses/by/4.0', 'start': {'date-parts': [[2015, 1, 1]], 'date-time': '2015-01-01T00:00:00Z', 'timestamp': 1420070400000}}",2015,,2019-02-26T12:38:09Z
10.1186/1471-2458-15-1,Regional alcohol consumption and alcohol-related mortality in Great Britain: novel insights using retail sales data,Mark Robinson; Deborah Shipton; David Walsh; Bruce Whyte; Gerry McCartney,2015-12-01,15,1,,1,431,Springer Science and Business Media LLC,,"{'given': 'Mark', 'family': 'Robinson', 'orcid': '', 'full_name': 'Mark Robinson'}; {'given': 'Deborah', 'family': 'Shipton', 'orcid': '', 'full_name': 'Deborah Shipton'}; {'given': 'David', 'family': 'Walsh', 'orcid': '', 'full_name': 'David Walsh'}; {'given': 'Bruce', 'family': 'Whyte', 'orcid': '', 'full_name': 'Bruce Whyte'}; {'given': 'Gerry', 'family': 'McCartney', 'orcid': '', 'full_name': 'Gerry McCartney'}",2025-11-02T12:31:42.938225,2015-06-18T03:08:44Z,,journal-article,crossref,,1471-2458,BMC Public Health,en,,"{'url': 'http://www.springer.com/tdm', 'start': {'date-parts': [[2015, 1, 7]], 'date-time': '2015-01-07T00:00:00Z', 'timestamp': 1420588800000}}",2015,,2019-01-22T12:46:07Z
10.1186/1471-2458-15-3,Screening for pulmonary tuberculosis in type 2 diabetes elderly: a cross-sectional study in a community hospital,Yung-Hsiang Lin; Chia-Pei Chen; Pao-Ying Chen; Jui-Chu Huang; Cheng Ho; Hsu-Huei Weng; Ying-Huang Tsai; Yun-Shing Peng,2015-12-01,15,1,,3,34,Springer Science and Business Media LLC,,"{'given': 'Yung-Hsiang', 'family': 'Lin', 'orcid': '', 'full_name': 'Yung-Hsiang Lin'}; {'given': 'Chia-Pei', 'family': 'Chen', 'orcid': '', 'full_name': 'Chia-Pei Chen'}; {'given': 'Pao-Ying', 'family': 'Chen', 'orcid': '', 'full_name': 'Pao-Ying Chen'}; {'given': 'Jui-Chu', 'family': 'Huang', 'orcid': '', 'full_name': 'Jui-Chu Huang'}; {'given': 'Cheng', 'family': 'Ho', 'orcid': '', 'full_name': 'Cheng Ho'}; {'given': 'Hsu-Huei', 'family': 'Weng', 'orcid': '', 'full_name': 'Hsu-Huei Weng'}; {'given': 'Ying-Huang', 'family': 'Tsai', 'orcid': '', 'full_name': 'Ying-Huang Tsai'}; {'given': 'Yun-Shing', 'family': 'Peng', 'orcid': '', 'full_name': 'Yun-Shing Peng'}",2025-11-02T12:31:42.938277,2015-06-18T07:29:44Z,,journal-article,crossref,,1471-2458,BMC Public Health,en,,"{'url': 'http://www.springer.com/tdm', 'start': {'date-parts': [[2015, 1, 8]], 'date-time': '2015-01-08T00:00:00Z', 'timestamp': 1420675200000}}",2015,,2021-09-02T08:46:45Z
10.1186/s12889-014-1340-7,Workplace violence against homecare workers and its relationship with workers health outcomes: a cross-sectional study,Ginger C Hanson; Nancy A Perrin; Helen Moss; Naima Laharnar; Nancy Glass,2015-12-01,15,1,,11,130,Springer Science and Business Media LLC,,"{'given': 'Ginger C', 'family': 'Hanson', 'orcid': '', 'full_name': 'Ginger C Hanson'}; {'given': 'Nancy A', 'family': 'Perrin', 'orcid': '', 'full_name': 'Nancy A Perrin'}; {'given': 'Helen', 'family': 'Moss', 'orcid': '', 'full_name': 'Helen Moss'}; {'given': 'Naima', 'family': 'Laharnar', 'orcid': '', 'full_name': 'Naima Laharnar'}; {'given': 'Nancy', 'family': 'Glass', 'orcid': '', 'full_name': 'Nancy Glass'}",2025-11-02T12:31:42.938317,2015-01-16T08:55:34Z,,journal-article,crossref,,1471-2458,BMC Public Health,en,,"{'url': 'http://creativecommons.org/licenses/by/4.0', 'start': {'date-parts': [[2015, 1, 17]], 'date-time': '2015-01-17T00:00:00Z', 'timestamp': 1421452800000}}",2015,,2022-04-26T22:30:14Z
10.1186/s12889-014-1337-2,"Determinants of underweight, stunting and wasting among schoolchildren",Mekides Wolde; Yifru Berhan; Alemzewed Chala,2015-12-01,15,1,,8,86,Springer Science and Business Media LLC,,"{'given': 'Mekides', 'family': 'Wolde', 'orcid': '', 'full_name': 'Mekides Wolde'}; {'given': 'Yifru', 'family': 'Berhan', 'orcid': '', 'full_name': 'Yifru Berhan'}; {'given': 'Alemzewed', 'family': 'Chala', 'orcid': '', 'full_name': 'Alemzewed Chala'}",2025-11-02T12:31:42.938352,2015-01-16T08:54:35Z,,journal-article,crossref,,1471-2458,BMC Public Health,en,,"{'url': 'http://creativecommons.org/licenses/by/4.0', 'start': {'date-parts': [[2015, 1, 17]], 'date-time': '2015-01-17T00:00:00Z', 'timestamp': 1421452800000}}",2015,,2021-09-02T07:35:23Z
10.1186/s12889-014-1338-1,"Weekday and weekend patterns of objectively measured sitting, standing, and stepping in a sample of office-based workers: the active buildings study",Lee Smith; Mark Hamer; Marcella Ucci; Alexi Marmot; Benjamin Gardner; Alexia Sawyer; Jane Wardle; Abigail Fisher,2015-12-01,15,1,,9,114,Springer Science and Business Media LLC,,"{'given': 'Lee', 'family': 'Smith', 'orcid': '', 'full_name': 'Lee Smith'}; {'given': 'Mark', 'family': 'Hamer', 'orcid': '', 'full_name': 'Mark Hamer'}; {'given': 'Marcella', 'family': 'Ucci', 'orcid': '', 'full_name': 'Marcella Ucci'}; {'given': 'Alexi', 'family': 'Marmot', 'orcid': '', 'full_name': 'Alexi Marmot'}; {'given': 'Benjamin', 'family': 'Gardner', 'orcid': '', 'full_name': 'Benjamin Gardner'}; {'given': 'Alexia', 'family': 'Sawyer', 'orcid': '', 'full_name': 'Alexia Sawyer'}; {'given': 'Jane', 'family': 'Wardle', 'orcid': '', 'full_name': 'Jane Wardle'}; {'given': 'Abigail', 'family': 'Fisher', 'orcid': '', 'full_name': 'Abigail Fisher'}",2025-11-02T12:31:42.938396,2015-01-16T08:55:02Z,,journal-article,crossref,,1471-2458,BMC Public Health,en,,"{'url': 'http://creativecommons.org/licenses/by/4.0', 'start': {'date-parts': [[2015, 1, 17]], 'date-time': '2015-01-17T00:00:00Z', 'timestamp': 1421452800000}}",2015,,2020-08-29T01:47:19Z
10.1186/s12889-014-1332-7,Qualitative study on the socio-cultural determinants of care of children orphaned by AIDS in the Ashanti and Eastern regions of Ghana,Lily Yarney; Chuks Mba; Emmanuel Asampong,2015-12-01,15,1,,6,13,Springer Science and Business Media LLC,,"{'given': 'Lily', 'family': 'Yarney', 'orcid': '', 'full_name': 'Lily Yarney'}; {'given': 'Chuks', 'family': 'Mba', 'orcid': '', 'full_name': 'Chuks Mba'}; {'given': 'Emmanuel', 'family': 'Asampong', 'orcid': '', 'full_name': 'Emmanuel Asampong'}",2025-11-02T12:31:42.938430,2015-01-16T08:53:34Z,,journal-article,crossref,,1471-2458,BMC Public Health,en,,"{'url': 'http://creativecommons.org/licenses/by/2.0', 'start': {'date-parts': [[2015, 1, 17]], 'date-time': '2015-01-17T00:00:00Z', 'timestamp': 1421452800000}}",2015,,2022-04-26T22:30:08Z
10.1186/s12889-014-1339-0,Factors associated with willingness to participate in clinical trials: a nationwide survey study,Sang Hui Chu; Eun Jung Kim; Seok Hee Jeong; Geu Lee Park,2015-12-01,15,1,,10,47,Springer Science and Business Media LLC,,"{'given': 'Sang Hui', 'family': 'Chu', 'orcid': '', 'full_name': 'Sang Hui Chu'}; {'given': 'Eun Jung', 'family': 'Kim', 'orcid': '', 'full_name': 'Eun Jung Kim'}; {'given': 'Seok Hee', 'family': 'Jeong', 'orcid': '', 'full_name': 'Seok Hee Jeong'}; {'given': 'Geu Lee', 'family': 'Park', 'orcid': '', 'full_name': 'Geu Lee Park'}",2025-11-02T12:31:42.938462,2015-01-16T08:55:03Z,,journal-article,crossref,,1471-2458,BMC Public Health,en,,"{'url': 'http://creativecommons.org/licenses/by/4.0', 'start': {'date-parts': [[2015, 1, 17]], 'date-time': '2015-01-17T00:00:00Z', 'timestamp': 1421452800000}}",2015,,2021-09-02T07:36:45Z
10.1186/s12889-014-1334-5,A novel quantitative body shape score for detecting association between obesity and hypertension in China,Shukang Wang; Yanxun Liu; Fangyu Li; Hongying Jia; Longjian Liu; Fuzhong Xue,2015-12-01,15,1,,7,24,Springer Science and Business Media LLC,,"{'given': 'Shukang', 'family': 'Wang', 'orcid': '', 'full_name': 'Shukang Wang'}; {'given': 'Yanxun', 'family': 'Liu', 'orcid': '', 'full_name': 'Yanxun Liu'}; {'given': 'Fangyu', 'family': 'Li', 'orcid': '', 'full_name': 'Fangyu Li'}; {'given': 'Hongying', 'family': 'Jia', 'orcid': '', 'full_name': 'Hongying Jia'}; {'given': 'Longjian', 'family': 'Liu', 'orcid': '', 'full_name': 'Longjian Liu'}; {'given': 'Fuzhong', 'family': 'Xue', 'orcid': '', 'full_name': 'Fuzhong Xue'}",2025-11-02T12:31:42.938499,2015-01-16T08:54:04Z,,journal-article,crossref,,1471-2458,BMC Public Health,en,,"{'url': 'http://creativecommons.org/licenses/by/4.0', 'start': {'date-parts': [[2015, 1, 17]], 'date-time': '2015-01-17T00:00:00Z', 'timestamp': 1421452800000}}",2015,,2021-09-02T07:33:16Z
10.1186/s12889-015-1345-x,Tools for teen moms to reduce infant obesity: a randomized clinical trial,Mildred A Horodynski; Kami Silk; Gary Hsieh; Alice Hoffman; Mackenzie Robson,2015-12-01,15,1,,22,17,Springer Science and Business Media LLC,,"{'given': 'Mildred A', 'family': 'Horodynski', 'orcid': '', 'full_name': 'Mildred A Horodynski'}; {'given': 'Kami', 'family': 'Silk', 'orcid': '', 'full_name': 'Kami Silk'}; {'given': 'Gary', 'family': 'Hsieh', 'orcid': '', 'full_name': 'Gary Hsieh'}; {'given': 'Alice', 'family': 'Hoffman', 'orcid': '', 'full_name': 'Alice Hoffman'}; {'given': 'Mackenzie', 'family': 'Robson', 'orcid': '', 'full_name': 'Mackenzie Robson'}",2025-11-02T12:31:42.938534,2015-01-20T17:18:51Z,,journal-article,crossref,,1471-2458,BMC Public Health,en,,"{'url': 'http://creativecommons.org/licenses/by/4.0', 'start': {'date-parts': [[2015, 1, 21]], 'date-time': '2015-01-21T00:00:00Z', 'timestamp': 1421798400000}}",2015,,2024-06-06T17:46:42Z
