rank,number_of_citations,article_number,volume,year,doi_link
1,4088,80,12,2012,https://doi.org/10.1186/1471-2458-12-80
2,1512,1193,20,2020,https://doi.org/10.1186/s12889-020-09301-4
3,1345,119,13,2013,https://doi.org/10.1186/1471-2458-13-119
4,1263,154,13,2013,https://doi.org/10.1186/1471-2458-13-154
5,1099,204,12,2012,https://doi.org/10.1186/1471-2458-12-204
6,1001,658,13,2013,https://doi.org/10.1186/1471-2458-13-658
7,938,813,13,2013,https://doi.org/10.1186/1471-2458-13-813
8,859,948,13,2013,https://doi.org/10.1186/1471-2458-13-948
9,759,738,15,2015,https://doi.org/10.1186/s12889-015-1954-4
10,708,25,14,2014,https://doi.org/10.1186/1471-2458-14-25
11,702,449,13,2013,https://doi.org/10.1186/1471-2458-13-449
12,681,1351,20,2020,https://doi.org/10.1186/s12889-020-09429-3
13,681,510,14,2014,https://doi.org/10.1186/1471-2458-14-510
14,662,439,12,2012,https://doi.org/10.1186/1471-2458-12-439
15,619,104,21,2021,https://doi.org/10.1186/s12889-020-10070-3
16,603,129,20,2020,https://doi.org/10.1186/s12889-020-8251-6
17,568,320,13,2013,https://doi.org/10.1186/1471-2458-13-320
18,563,264,17,2017,https://doi.org/10.1186/s12889-017-4153-7
19,559,101,17,2017,https://doi.org/10.1186/s12889-017-4041-1
20,548,643,14,2014,https://doi.org/10.1186/1471-2458-14-643
21,530,482,13,2013,https://doi.org/10.1186/1471-2458-13-482
22,518,1267,14,2014,https://doi.org/10.1186/1471-2458-14-1267
23,510,725,15,2015,https://doi.org/10.1186/s12889-015-1949-1
24,503,1229,13,2013,https://doi.org/10.1186/1471-2458-13-1229
25,502,1556,21,2021,https://doi.org/10.1186/s12889-021-11623-w
26,494,401,21,2021,https://doi.org/10.1186/s12889-021-10429-0
27,492,333,14,2014,https://doi.org/10.1186/1471-2458-14-333
28,480,188,14,2014,https://doi.org/10.1186/1471-2458-14-188
29,475,918,12,2012,https://doi.org/10.1186/1471-2458-12-918
