rank,number_of_citations,article_number,volume,year,doi_link
1,4146,450,11,2011,https://doi.org/10.1186/1471-2458-11-450
2,4088,80,12,2012,https://doi.org/10.1186/1471-2458-12-80
3,2788,88,9,2009,https://doi.org/10.1186/1471-2458-9-88
4,1512,1193,20,2020,https://doi.org/10.1186/s12889-020-09301-4
5,1429,456.0,10,2010,https://doi.org/10.1186/1471-2458-10-456
6,1345,119,13,2013,https://doi.org/10.1186/1471-2458-13-119
7,1263,154,13,2013,https://doi.org/10.1186/1471-2458-13-154
8,1099,204,12,2012,https://doi.org/10.1186/1471-2458-12-204
9,1029,770,11,2011,https://doi.org/10.1186/1471-2458-11-770
10,1001,658,13,2013,https://doi.org/10.1186/1471-2458-13-658
11,938,813,13,2013,https://doi.org/10.1186/1471-2458-13-813
12,938,109,11,2011,https://doi.org/10.1186/1471-2458-11-109
13,883,119,11,2011,https://doi.org/10.1186/1471-2458-11-119
14,859,948,13,2013,https://doi.org/10.1186/1471-2458-13-948
15,802,66,11,2011,https://doi.org/10.1186/1471-2458-11-66
16,759,738,15,2015,https://doi.org/10.1186/s12889-015-1954-4
17,708,25,14,2014,https://doi.org/10.1186/1471-2458-14-25
18,702,449,13,2013,https://doi.org/10.1186/1471-2458-13-449
19,701,117,8,2008,https://doi.org/10.1186/1471-2458-8-117
20,681,1351,20,2020,https://doi.org/10.1186/s12889-020-09429-3
21,681,510,14,2014,https://doi.org/10.1186/1471-2458-14-510
22,662,439,12,2012,https://doi.org/10.1186/1471-2458-12-439
23,646,357,7,2007,https://doi.org/10.1186/1471-2458-7-357
24,628,15,8,2008,https://doi.org/10.1186/1471-2458-8-15
25,619,104,21,2021,https://doi.org/10.1186/s12889-020-10070-3
26,608,30,7,2007,https://doi.org/10.1186/1471-2458-7-30
27,603,129,20,2020,https://doi.org/10.1186/s12889-020-8251-6
28,574,647,11,2011,https://doi.org/10.1186/1471-2458-11-647
29,568,320,13,2013,https://doi.org/10.1186/1471-2458-13-320
30,563,264,17,2017,https://doi.org/10.1186/s12889-017-4153-7
31,559,101,17,2017,https://doi.org/10.1186/s12889-017-4041-1
